id,title,main_price,off_price,off_percent,inventory,store,is_exist,extracted_at,source
347841,پروتئین سویا 200 گرمی توسکا,1350000,742500,45,884,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
316775,کاسه الماس 6 عددی 400,3170000,1902000,40,1,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
313349,پودرژله انبه 100 گرم شیبا,850000,510000,40,43,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
313381,پودرژله توت فرنگی 100 گرم شیبابا,850000,510000,40,113,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
313387,پودرژله موز 100 گرم شیبابا,850000,510000,40,90,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
313362,پودرژله مخلوط میوه های قرمز 100 گرم شیبابا,850000,510000,40,77,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
324974,سزار 520 گرمی,3484800,2090880,40,3,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
313389,پودرژله انار شیبابا,850000,510000,40,102,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
313382,پودرژله پرتقال 100 گرم شیبابا,850000,510000,40,104,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
313383,پودرژله با طعم  بلوبری  100گرم شیبابا,850000,510000,40,39,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
314543,مایع ظرفشویی پرتقال بطری 1 لیتر اتکا,2240092,1769673,21,191,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
315018,تن ماهی180گ آسان بازشو اتکا,1999000,1999000,0,1336,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
313726,رب گوجه فرنگی ایزی اوپن 800گرم جوانه اتکا,1199000,1199000,0,94,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
315011,تن ماهی آسان بازشو 120 گرم اتکا,1558500,1558500,0,1514,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
314536,پودر لباسشویی 500 گرمی اتکا,897947,897947,0,274,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
320962,دستمال حوله 4 رولی اتکا,3510830,3510830,0,30,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
312600,مایع لباسشویی جنرالhdبنفش6عددی 2000 گرم سافتلن,5323800,4525230,15,149,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
312598,مایع لباسشویی جنرالhdآبی4عددی 3000 گرم سافتلن,7778100,7544757,3,340,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
323566,سینه مرغ بی پوست 1800 گرم  آوا,10296000,9987120,3,11,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
319850,روغن مایع سرخ ویژه 2.7 گرم ورامین,10998460,10996460,0,2349,انبار مرکزی اتکالا,True,2026-08-16 11:26:18,JSON
